Country,League,game_id,Season,Date,Time,Home,home_id,Away,Away_id,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Brazil,Serie A,1,2012,19-05-12,22:30,Palmeiras,21,Portuguesa,21,1,1,0,1.75,3.86,5.25,1.76,3.87,5.31,1.69,3.5,4.9
Brazil,Serie A,2,2012,19-05-12,22:30,Sport Recife,27,Flamengo RJ,27,1,1,0,2.83,3.39,2.68,2.83,3.42,2.7,2.59,3.23,2.58
Brazil,Serie A,3,2012,20-05-12,1:00,Figueirense,13,Nautico,13,2,1,1,1.6,4.04,6.72,1.67,4.05,7.22,1.59,3.67,5.64
Brazil,Serie A,4,2012,20-05-12,20:00,Botafogo RJ,7,Sao Paulo,7,4,2,1,2.49,3.35,3.15,2.49,3.39,3.15,2.35,3.26,2.84
Brazil,Serie A,5,2012,20-05-12,20:00,Corinthians,9,Fluminense,9,0,1,2,1.96,3.53,4.41,1.96,3.53,4.41,1.89,3.33,3.89
Brazil,Serie A,6,2012,20-05-12,20:00,Internacional,18,Coritiba,18,2,0,1,1.76,3.63,5.66,1.77,3.9,6,1.66,3.55,5.1
Brazil,Serie A,7,2012,20-05-12,20:00,Ponte Preta,22,Atletico-MG,22,0,1,2,3.12,3.45,2.44,3.12,3.45,2.62,2.74,3.23,2.45
Brazil,Serie A,8,2012,20-05-12,22:30,Bahia,6,Santos,6,0,0,0,2.33,3.44,3.32,2.45,3.52,3.32,2.3,3.22,2.97
Brazil,Serie A,9,2012,20-05-12,22:30,Cruzeiro,12,Atletico GO,12,0,0,0,1.83,3.74,4.82,1.85,3.79,4.82,1.78,3.47,4.3
Brazil,Serie A,10,2012,20-05-12,22:30,Vasco,28,Gremio,28,2,1,1,2.25,3.4,3.53,2.25,3.46,3.64,2.08,3.25,3.41
Brazil,Serie A,11,2012,26-05-12,22:30,Atletico GO,2,Ponte Preta,2,1,1,0,1.66,4.09,5.79,1.7,4.09,5.79,1.66,3.59,5.04
Brazil,Serie A,12,2012,26-05-12,22:30,Flamengo RJ,14,Internacional,14,3,3,0,2.13,3.35,3.95,2.15,3.6,4.2,1.99,3.23,3.74
Brazil,Serie A,13,2012,26-05-12,22:30,Portuguesa,23,Vasco,23,0,1,2,2.5,3.5,2.67,2.8,3.54,2.7,2.62,3.22,2.54
Brazil,Serie A,14,2012,27-05-12,1:00,Nautico,20,Cruzeiro,20,0,0,0,3.15,3.31,2.49,3.15,3.31,2.8,2.67,3.18,2.55
Brazil,Serie A,15,2012,27-05-12,20:00,Atletico-MG,3,Corinthians,3,1,0,1,2.04,3.43,4.09,2.25,3.7,4.09,2.08,3.28,3.43
Brazil,Serie A,16,2012,27-05-12,20:00,Coritiba,10,Botafogo RJ,10,2,3,2,1.79,3.88,4.84,1.96,4.2,4.84,1.77,3.6,4.15
Brazil,Serie A,17,2012,27-05-12,20:00,Santos,25,Sport Recife,25,0,0,0,1.42,4.76,9.52,1.5,4.88,9.52,1.41,4.17,7.46
Brazil,Serie A,18,2012,27-05-12,20:00,Sao Paulo,26,Bahia,26,1,0,1,1.47,4.74,7.68,1.47,4.74,7.91,1.44,4.12,6.93
Brazil,Serie A,19,2012,27-05-12,22:30,Fluminense,15,Figueirense,15,2,2,0,1.65,4.01,6,1.7,4.33,6.02,1.65,3.61,5.08
Brazil,Serie A,20,2012,27-05-12,22:30,Gremio,17,Palmeiras,17,1,0,1,1.97,3.59,4.26,2.1,3.8,4.26,1.97,3.33,3.66
Brazil,Serie A,21,2012,06-06-12,23:30,Atletico GO,2,Gremio,2,0,1,2,2.31,3.56,3.25,2.4,3.56,3.27,2.28,3.26,2.96
Brazil,Serie A,22,2012,06-06-12,23:30,Sport Recife,27,Palmeiras,27,2,1,1,2.62,3.39,2.9,2.69,3.39,2.9,2.46,3.17,2.77
Brazil,Serie A,23,2012,07-06-12,0:30,Atletico-MG,3,Bahia,3,1,1,0,1.46,4.55,8.5,1.5,4.69,9,1.43,4.13,7.23
Brazil,Serie A,24,2012,07-06-12,0:30,Coritiba,10,Portuguesa,10,2,0,1,1.7,3.94,5.59,1.7,3.97,6,1.59,3.72,5.37
